timestamp,open,high,low,close,volume
2022-05-04,2360.0700,2462.8600,2314.7700,2451.5000,1656826
2022-05-03,2335.3000,2386.0000,2332.5400,2362.5900,1060787
2022-05-02,2278.1300,2346.7900,2267.9900,2343.1400,1513982
2022-04-29,2351.5600,2379.2000,2293.8800,2299.3300,1684655
2022-04-28,2342.3000,2408.7700,2302.8778,2388.2300,1839547
2022-04-27,2287.4600,2350.0000,2262.4850,2300.4100,3111906
2022-04-26,2455.0000,2455.0000,2383.2370,2390.1200,2284104
2022-04-25,2388.5900,2465.5600,2375.3850,2465.0000,1726090
2022-04-22,2500.0000,2509.0400,2382.8100,2392.2800,2320515
2022-04-21,2587.0000,2606.1500,2493.0000,2498.7500,1507877
2022-04-20,2625.6800,2638.4700,2557.8811,2564.9100,1126974
2022-04-19,2561.5400,2618.0750,2549.0300,2610.6200,1135965
2022-04-18,2548.2000,2574.2400,2531.5693,2559.2200,745860
2022-04-14,2612.9900,2614.2050,2542.2300,2545.0600,1174168
2022-04-13,2572.5300,2613.1150,2568.7719,2605.7200,977148
2022-04-12,2648.4700,2648.4700,2551.5200,2567.4900,1150161
2022-04-11,2658.0000,2658.7836,2592.3500,2595.9300,1209367
2022-04-08,2725.0000,2725.0000,2675.0501,2680.2100,821724
2022-04-07,2732.3600,2754.0300,2697.1450,2729.3000,972427
2022-04-06,2783.2300,2796.9700,2728.3622,2743.5200,1178730
2022-04-05,2867.9900,2871.8000,2818.8700,2821.2600,926553
2022-04-04,2816.4900,2880.8750,2816.4900,2872.8500,954245
2022-04-01,2800.2000,2819.0000,2775.9400,2814.0000,1174001
2022-03-31,2848.9700,2852.8900,2792.3800,2792.9900,1475816
2022-03-30,2857.4000,2869.6100,2843.3600,2852.8900,1052319
2022-03-29,2863.2100,2883.2500,2849.6800,2865.0000,1433921
2022-03-28,2813.6900,2839.5300,2796.5627,2839.0000,1188654
2022-03-25,2835.0800,2839.1900,2793.9900,2830.4300,946137
2022-03-24,2785.4500,2827.9300,2760.7876,2826.2400,1027236
2022-03-23,2782.7700,2800.5000,2763.3300,2770.0700,1265116
2022-03-22,2730.0000,2830.0000,2730.0000,2805.5500,1485315
2022-03-21,2736.9500,2751.6500,2692.2300,2729.5700,1311843
2022-03-18,2677.6800,2738.2700,2658.6400,2736.0300,2274522
2022-03-17,2666.4200,2694.7899,2654.3800,2692.0100,1199719
2022-03-16,2620.0000,2675.4200,2584.0200,2673.8100,1602910
2022-03-15,2554.8300,2610.3450,2531.3600,2593.2100,1514630
2022-03-14,2611.4600,2620.5200,2528.2600,2534.8200,1512693
2022-03-11,2679.9900,2684.0000,2605.9300,2609.5100,1329990
2022-03-10,2629.2500,2670.7700,2628.0200,2653.6400,1213260
2022-03-09,2628.0000,2683.9700,2601.7600,2677.3200,1612872
2022-03-08,2525.0100,2624.9300,2517.2150,2545.5700,1762478
2022-03-07,2638.0800,2638.0800,2528.2000,2529.2900,1958895
2022-03-04,2667.6500,2683.9800,2608.1700,2642.4400,1223612
2022-03-03,2719.5700,2734.2759,2668.6200,2686.1600,988965
2022-03-02,2692.1650,2712.3100,2668.6500,2695.0300,1198337
2022-03-01,2689.6000,2722.2200,2667.5700,2683.3600,1231996
2022-02-28,2665.6900,2712.8100,2656.5050,2697.8200,1483784
2022-02-25,2670.5100,2707.7800,2635.3000,2690.3900,1311793
2022-02-24,2500.0000,2660.7400,2495.2900,2653.4700,2158254
2022-02-23,2621.5700,2634.9800,2550.0700,2551.7000,1321564
2022-02-22,2599.7000,2638.0150,2554.8200,2588.0500,1922576
2022-02-18,2660.7500,2676.4800,2606.1405,2609.3500,1592930
2022-02-17,2723.0000,2736.7900,2644.0400,2646.1700,1548406
2022-02-16,2728.6100,2758.9200,2696.4728,2749.7500,1280483
2022-02-15,2749.4300,2758.0000,2710.7901,2728.5100,1328878
2022-02-14,2667.3100,2723.3299,2666.0400,2706.0000,1339640
2022-02-11,2775.0000,2785.6650,2665.7700,2682.6000,1940440
2022-02-10,2790.0000,2828.6200,2761.0000,2772.0500,1650885
2022-02-09,2816.9950,2843.5100,2807.5400,2829.0600,1431358
2022-02-08,2779.8250,2796.7424,2737.4600,2784.2600,1712752
2022-02-07,2874.1800,2876.9299,2773.9800,2778.7600,2230537
2022-02-04,2860.3400,2890.7050,2796.3500,2860.3200,2461220
2022-02-03,2905.9000,2982.3544,2844.1000,2853.0100,2846507
2022-02-02,3037.2700,3042.0000,2911.1501,2960.7300,4487538
2022-02-01,2756.7000,2764.0000,2691.3645,2757.5700,2560160
2022-01-31,2683.9600,2716.8700,2645.4800,2713.9700,1702778
2022-01-28,2600.0000,2667.4100,2573.8900,2665.7900,1525878
2022-01-27,2627.2200,2652.1988,2578.9000,2582.4200,1514251
2022-01-26,2611.8500,2656.1500,2543.0700,2584.8000,1981544
2022-01-25,2568.7100,2586.7700,2527.5600,2534.7100,1800430
2022-01-24,2520.5500,2615.5700,2492.8390,2607.4400,2764602
2022-01-21,2660.2400,2695.2100,2600.0200,2601.8400,2095961
2022-01-20,2730.2800,2758.2400,2662.8900,2670.1300,1096528
2022-01-19,2738.7700,2767.9900,2710.0000,2713.0400,1002757
2022-01-18,2732.0000,2747.8299,2712.3400,2725.8100,1347275
2022-01-14,2750.0000,2824.0100,2750.0000,2795.7300,1191296
2022-01-13,2836.8100,2863.7100,2778.2800,2782.6200,1328254
2022-01-12,2831.0900,2856.2849,2822.2400,2832.9600,1182079
2022-01-11,2763.6100,2806.5900,2736.2700,2800.3500,1148153
2022-01-10,2701.9800,2772.8000,2662.8100,2771.4800,1704784
2022-01-07,2758.1000,2765.0949,2715.7800,2740.0900,970412
2022-01-06,2749.9500,2793.7200,2735.2700,2751.0200,1452452
2022-01-05,2883.6200,2885.9600,2750.4700,2753.0700,2482076
2022-01-04,2911.0100,2932.2000,2876.3225,2888.3300,1146389
2022-01-03,2889.5100,2911.0000,2870.0500,2901.4900,1261225
2021-12-31,2910.8800,2927.3000,2893.5500,2893.5900,847077
2021-12-30,2929.0000,2941.2500,2915.1700,2920.0500,648851
2021-12-29,2928.5900,2943.6750,2910.0900,2930.0900,851236
2021-12-28,2967.4900,2967.4900,2918.7100,2928.9600,931792
2021-12-27,2949.2700,2968.5300,2945.0000,2961.2800,662966
2021-12-23,2941.7900,2971.4519,2939.0168,2942.8500,690934
2021-12-22,2882.0000,2946.0600,2879.2600,2938.9800,922024
2021-12-21,2863.0000,2893.8413,2834.7000,2884.4100,977597
2021-12-20,2813.5919,2852.2100,2805.0000,2848.0300,1013176
2021-12-17,2854.2900,2889.2019,2835.7600,2856.0600,2170235
2021-12-16,2961.5400,2971.0300,2881.8500,2896.7700,1369987
2021-12-15,2887.3200,2950.3450,2854.1100,2947.3700,1364048
2021-12-14,2895.4000,2908.8400,2844.8500,2899.4100,1238940
2021-12-13,2968.8800,2971.2500,2927.2000,2934.0900,1205196
2021-12-10,2982.0000,2988.0000,2947.1500,2973.5000,1081923
2021-12-09,2963.5200,2992.1000,2950.5800,2962.1200,929030
2021-12-08,2966.6300,2983.1300,2944.0000,2974.4100,948197
2021-12-07,2919.0000,2966.0000,2914.0500,2960.7300,1162914
2021-12-06,2871.4800,2887.0300,2812.9400,2875.9300,1109885
2021-12-03,2889.9100,2904.2599,2823.0000,2850.4100,1334374
2021-12-02,2836.4800,2893.5000,2819.6400,2875.5300,1062535
2021-12-01,2884.2500,2929.9825,2830.0000,2832.3600,1427289
2021-11-30,2909.0050,2932.5700,2841.3200,2849.0400,2079526
2021-11-29,2885.9700,2937.2400,2885.9700,2922.2800,1313806
2021-11-26,2900.3100,2905.9404,2849.7100,2856.1200,849606
2021-11-24,2927.0000,2940.0000,2903.9800,2934.3500,823203
2021-11-23,2942.2600,2953.8800,2897.7900,2935.1400,906657
2021-11-22,3002.8352,3014.8900,2940.1100,2941.5700,1231385
2021-11-19,3020.0000,3037.0000,2997.7500,2999.0500,989148
2021-11-18,2982.9200,3032.2000,2979.9700,3014.1800,1334120
2021-11-17,2984.5800,2992.5200,2971.2600,2981.2400,764541
2021-11-16,2983.4100,2996.6500,2967.0000,2981.5200,862743
2021-11-15,3000.0000,3009.5400,2973.0500,2987.7600,812367
2021-11-12,2956.6300,2997.1900,2929.0800,2992.9100,849970
2021-11-11,2942.1400,2970.0450,2933.8900,2934.9600,623155
